제목,카테고리,hex1,hex2,hex3,hex4,hex5,hex1rate,hex2rate,hex3rate,hex4rate,hex5rate
"형수님, 나를 애인으로 삼아줘요",드라마,#080a10,#fae1d3,#837775,#b69e9a,#494244,0.31602925145348837,0.2774809229651163,0.15652888808139534,0.14370730377906976,0.10625363372093023
황비의 향낭,드라마,#f6ecec,#c5b9ba,#95878a,#645b5e,#4a2425,0.3501226380813954,0.2906985828488372,0.14396529796511628,0.13887263808139536,0.07634084302325582
황혼의 제국,드라마,#553b31,#846652,#b69b7e,#1a120f,#ede0d6,0.26005995639534885,0.24820675872093023,0.2387654433139535,0.2243531976744186,0.02861464389534884
회장집 둘째 며느리,드라마,#ffffff,#c27385,#f4e9ea,#884366,#e3b2c0,0.6916378997093023,0.14170239825581396,0.08483648255813954,0.04519985465116279,0.03662336482558139
흑백무상,드라마,#151a21,#3b4149,#f0e7df,#697473,#9fa4a1,0.2927107558139535,0.28199037063953486,0.16430414244186045,0.1346266351744186,0.12636809593023257
"17세, 오늘부터 동거 시작합니다!",순정,#f9ebce,#ab8993,#3c2722,#84646c,#e2d682,0.4272220203488372,0.1902298328488372,0.13772438226744185,0.13202761627906975,0.11279614825581395
"28살, 5명의 남자와 연애시작!",순정,#f7f2f6,#fbdce5,#c3a9a6,#866863,#c92850,0.4703025072674419,0.40085210755813955,0.07584574854651163,0.03145984738372093,0.021539789244186047
Sugar Sugar Honey(슈가 슈가 허니),순정,#f9f9f6,#f4d7c7,#e1ae89,#7e644e,#f79832,0.47434320494186044,0.21743550145348836,0.11150436046511628,0.11073037790697675,0.08598655523255815
_밤_을 찾아서,순정,#fcece1,#412c79,#cca998,#946361,#6af7e1,0.4302879723837209,0.32006904069767445,0.1312999636627907,0.09492096656976744,0.02342205668604651
가시성의 왕자님,순정,#edc5c0,#faf0e5,#141e43,#6c5c76,#b69996,0.4994776526162791,0.152109375,0.14983466569767442,0.12086119186046512,0.0777171148255814
갖고 싶은 너,순정,#322f3c,#fef8ef,#84525c,#fad1d1,#d5868f,0.33824763808139535,0.21668332122093023,0.1878606468023256,0.16971021075581397,0.08749818313953488
걔네들 분명 했을걸,순정,#3a1e21,#daaaa3,#79474c,#be7b7b,#fbf7f0,0.30979742005813954,0.1965561409883721,0.1926389898255814,0.18976744186046512,0.11124000726744186
거만한 도련님과 계약 결혼,순정,#f8e5e1,#dec0bf,#63474a,#906e71,#b59b9a,0.40977743459302324,0.22780704941860466,0.14427234738372094,0.11293695494186047,0.1052062136627907
검의 황비,순정,#f9eeee,#9c7582,#6b4a58,#cfa6b3,#33293e,0.37226017441860465,0.20123546511627907,0.17607013081395348,0.1626280886627907,0.0878061409883721
"결혼, 사냥하고 쟁취하라",순정,#fd1120,#eedccf,#cfa29b,#3d3325,#806c61,0.45817405523255816,0.20904614825581394,0.15116369912790698,0.11642532703488372,0.0651907703488372
결혼부터 시작할까요,순정,#f6e7e9,#eeb4ad,#9b7d88,#b5bcd3,#5d4652,0.3769876453488372,0.23037609011627908,0.16317859738372092,0.13145984738372093,0.09799781976744186
경국지색 - 여왕의 야망,순정,#302528,#e4dfdc,#b8a7a2,#654d41,#8b7f7b,0.44640352470930234,0.18290697674418605,0.14601653343023255,0.12929414970930234,0.09537881540697675
계약 남편에게 끌리는 이유,순정,#e9eaf4,#623347,#7b728a,#d6aeba,#c6737e,0.3353515625,0.22434593023255814,0.19137899709302325,0.13194494912790697,0.11697856104651162
공작님의 곰인형,순정,#eaebe8,#3d2e2e,#d3bca6,#af564e,#70858d,0.3188517441860465,0.250546875,0.16326762354651161,0.13666151889534883,0.13067223837209302
교녀독비,순정,#fdf2eb,#f1c7bc,#2b1c1e,#a78a7e,#5a4f5a,0.4001980377906977,0.23001453488372092,0.1291669694767442,0.12585574127906976,0.11476471656976744
국보급 미남이 나를 익애합니다,순정,#fdf2ee,#f1d0cc,#ccafad,#9c7f7d,#625358,0.4171048328488372,0.23402252906976745,0.15876544331395348,0.12034702034883721,0.06976017441860465
궁 안에 살다,순정,#7c6a58,#dae4e8,#baa38b,#45372e,#d55640,0.27504178779069766,0.19973564680232558,0.19768986191860466,0.16662881540697674,0.16090388808139536
귀신 상사를 두근거리게 하고 싶어,순정,#6f6977,#fdeceb,#594357,#efc0c1,#b06474,0.3203015988372093,0.30216842296511626,0.17927870639534885,0.1087436409883721,0.08950763081395349
귀신을 보는 왕비,순정,#fdf3f2,#f6cece,#72585b,#43323b,#ae969e,0.35978651889534885,0.25589480377906976,0.15839662063953489,0.14802416424418605,0.07789789244186046
귀여운 그녀,순정,#faf2eb,#e5cdc1,#c49e98,#59484c,#956a6b,0.3516669694767442,0.24350926598837208,0.13930868459302326,0.13904887354651163,0.12646620639534883
그 남자의 계략,순정,#ede0dd,#9e695a,#c2a986,#0b090b,#45363e,0.34855105377906975,0.1831967659883721,0.16921148255813953,0.1566624273255814,0.1423782703488372
그 놈을 건드려 버렸다!,순정,#e3c9c2,#f6ebe9,#c4a69e,#927171,#553b44,0.3136173691860465,0.26479287790697675,0.17491006540697673,0.13717841569767442,0.10950127180232558
"그녀, 비밀의 군주",순정,#fbf5f2,#f0dbcb,#e6c596,#ba9673,#794639,0.4116424418604651,0.2654078851744186,0.22132539970930232,0.07907521802325582,0.022549055232558138
그녀는 실시간 검색어 1위,순정,#f6f5f5,#d7d1cd,#3f463f,#121412,#938683,0.3796902252906977,0.23851199127906977,0.15056231831395347,0.14249909156976745,0.08873637354651162
그를 조심하세영!,순정,#f4eeec,#5e505c,#302328,#d3b7a3,#8b8089,0.310680414244186,0.1814126090116279,0.18088026889534883,0.17118095930232557,0.15584574854651162
그와 키스까지 앞으로 XX일,순정,#fbf7ec,#f5bfac,#73585f,#ae848b,#39292f,0.34985374273255815,0.2623364825581395,0.15614734738372094,0.13792151162790697,0.09374091569767441
극상 야쿠자와 계약 결혼,순정,#1e1518,#faf4f5,#e1beb6,#683e3b,#ac7e73,0.3842469113372093,0.22068041424418605,0.17029614825581396,0.13088753633720931,0.0938889898255814
까마귀 우는 밤,순정,#222c2e,#fbeddf,#605d5c,#8b9499,#d1bbb6,0.27231013808139537,0.26670694040697673,0.16427416424418603,0.1581531613372093,0.13855559593023256
까칠한 그녀 사로잡기,순정,#faf2f2,#3a363f,#dac1d0,#6a6a74,#ab99a7,0.3304333212209302,0.19702579941860465,0.19483648255813954,0.14692405523255814,0.13078034156976745
껄끄러운 상사와 이웃이 되었습니다,순정,#fefcfb,#edc4b8,#c18d92,#73657b,#3a3853,0.41863190406976747,0.20236373546511627,0.14374273255813955,0.1197438226744186,0.11551780523255814
나는 너를 본다,순정,#edd8e1,#2c2349,#4c4a66,#aa517f,#bd9da1,0.27380541424418603,0.26420058139534885,0.24797147529069768,0.12063226744186047,0.09339026162790698
나를 기억해,순정,#a36072,#673948,#d691a0,#a22b29,#f1cbd6,0.23585210755813954,0.2268531976744186,0.20202216569767442,0.17208030523255813,0.1631922238372093
나를 속박해도 괜찮아,순정,#fdfcfd,#432f43,#e2b6bd,#cc8b90,#735774,0.3266515261627907,0.22668695494186047,0.2017687136627907,0.12937045784883722,0.11552234738372093
나보고 개과천선하라고!,순정,#f2d6d2,#301520,#875b69,#c89897,#662834,0.23239916424418605,0.20828670058139534,0.20571130087209302,0.1894967296511628,0.1641061046511628
나의 바보 황자님!,순정,#eef2eb,#d3cdc8,#b9947a,#58473d,#856c5b,0.38726835029069767,0.17634447674418605,0.1494876453488372,0.14751180959302326,0.1393877180232558
낙화연가,순정,#4f445d,#918095,#cfb8c4,#805968,#f4eff1,0.2893958938953488,0.20160428779069767,0.17492641715116278,0.17374727470930232,0.16032612645348837
남다른 대표님의 사정,순정,#ded4bd,#f2f7f0,#c29d6d,#5d372d,#65809c,0.4074191497093023,0.2689126090116279,0.1294703851744186,0.12535973837209302,0.06883811773255814
남주가 미모를 숨김,순정,#fbf5ea,#e9d4a4,#ef925b,#9f9d82,#605d4c,0.4788608284883721,0.2079705668604651,0.12428415697674419,0.10374091569767442,0.08514353197674418
낮과 밤의 연애,순정,#ccb1ab,#e2cec6,#a58385,#fcf8f4,#473636,0.3780559593023256,0.37410065406976745,0.13698401162790697,0.07464662063953488,0.036212754360465116
낮에 뜨는 별,순정,#f4e2e4,#312d46,#4d5a8e,#c19bb1,#67a8e6,0.35914425872093025,0.27019167877906974,0.17541333575581394,0.10688226744186047,0.08836845930232558
내 남자친구는 초능력자,순정,#f3f6f2,#292322,#e5c6b0,#b3e9e9,#776966,0.4497410973837209,0.19821311773255815,0.19524800145348836,0.08961391715116279,0.06718386627906976
내 남친이 뱀파이어!,순정,#f1eef2,#535c86,#a4abc6,#bb3434,#1a1c29,0.34721656976744186,0.20126635174418606,0.18832939680232558,0.17663608284883722,0.08655159883720931
내 남편이 그녀를 숨김,순정,#f3d9ea,#21313c,#f3a5a8,#ea5468,#838687,0.30781159156976745,0.2887908793604651,0.17896257267441862,0.11294694767441861,0.11148800872093023
내 두번째 남편,순정,#e2dedc,#3b3f5f,#5c6d98,#c0a1aa,#9b7378,0.24727561773255813,0.22297692587209303,0.21176144622093024,0.20504905523255815,0.11293695494186047
내 아이는 톱스타,순정,#f6eee9,#e1c4c3,#6f606c,#a394b2,#443547,0.33905341569767444,0.24497638081395348,0.15344749273255814,0.14464571220930234,0.11787699854651162
내가 널 사랑할 때,순정,#fbf2ee,#e5b2ab,#c57c65,#684643,#361f1f,0.4567850654069767,0.26519258720930233,0.12418786337209302,0.08626907703488372,0.06756540697674418
너는 누군가의 첫사랑이었다,순정,#fbf0f3,#83868b,#d7d0ca,#635c64,#3c2f30,0.41490824854651165,0.17829033430232558,0.15995821220930231,0.1270203488372093,0.11982285610465117
너만 모르는 결혼,순정,#fefbf8,#563f49,#eacbc5,#996561,#d79b9b,0.3522220203488372,0.20178052325581394,0.171640625,0.13933321220930234,0.13502361918604652
너와 사는 오늘,순정,#dce6fc,#fae4e0,#896a6e,#554345,#b0a7bc,0.3290924781976744,0.2163435683139535,0.21277525436046513,0.14616914970930234,0.09561954941860465
네가 죽었으면 좋겠어,순정,#fbdcd8,#221521,#653d4a,#9a6575,#daa1a4,0.26757903343023254,0.22414335029069768,0.20653978924418603,0.15898074127906978,0.14275708575581394
늑대 소년과 선생님,순정,#532740,#fdf2e7,#e8afa7,#946578,#f02677,0.25085755813953486,0.24440861191860466,0.22682140261627906,0.18932412790697675,0.08858829941860465
단골 사장님의 무차별적 구애[개정판],순정,#fae9e6,#f3b8ab,#190e16,#c3786f,#7a3634,0.4056449854651163,0.18234920058139534,0.16921511627906977,0.1453579215116279,0.0974327761627907
달콤살벌한 약혼자,순정,#f4e7d2,#372a21,#96765f,#674637,#dbaf83,0.2940161700581395,0.22524073401162792,0.1917341933139535,0.18330123546511629,0.1057076671511628
달콤하게 살고 싶어,순정,#f5f3e8,#d1d7c4,#8db3a1,#be835f,#5f473f,0.41037154796511627,0.2901308139534884,0.11299055232558139,0.10278161337209302,0.08372547238372093
달콤한 목소리로 속삭이지 말아 줘,순정,#fadacb,#ea9388,#f7efeb,#3b3e53,#b2635f,0.385984738372093,0.20871002906976743,0.2015125363372093,0.10268986191860466,0.10110283430232558
당나라에서 궁녀로 살아남기,순정,#f8edeb,#dc4047,#927988,#d6b5a8,#593b46,0.2740098110465116,0.22075399709302326,0.19333848110465116,0.18490098110465117,0.1269967296511628
당신을 안부터 만족시키는 법,순정,#f8f1f3,#776058,#ac7a73,#dfabad,#463d3b,0.45107376453488374,0.1895203488372093,0.1477452761627907,0.12382539970930233,0.08783521075581395
당신의 계략에는 넘어가지 않아요!,순정,#fefcfb,#3f404e,#d7d8cd,#110b10,#a09297,0.48302416424418604,0.20981195494186047,0.16883630087209303,0.09038880813953488,0.04793877180232558
대공과 후작 사이에 친구가 어디 있어,순정,#faf2ea,#e3c2ab,#9e5a5c,#5b3d3b,#ca847b,0.3326671511627907,0.18915879360465115,0.17433048691860464,0.1526153706395349,0.1512281976744186
대신 복수해드립니다,순정,#f3eee5,#33252c,#e4b7ab,#b67f79,#764a4d,0.4020466933139535,0.20110555959302326,0.16245094476744187,0.14714662063953488,0.08725018168604651
대표님 꼭 안아주세요,순정,#e8dfdf,#122c81,#442333,#2375ce,#a55678,0.3420439680232558,0.21081304505813953,0.1781204578488372,0.15306867732558138,0.11595385174418604
대표님 안돼요,순정,#39292c,#884f52,#c89490,#eed8cd,#2f776f,0.3300454215116279,0.21760719476744186,0.18758448401162792,0.1719140625,0.09284883720930233
대표님 저 결혼했어요,순정,#f8ebea,#3d3daa,#130d37,#4e404a,#9c85a3,0.23121275436046512,0.2232966933139535,0.20393168604651163,0.17842750726744186,0.1631313590116279
