제목,카테고리,hex1,hex2,hex3,hex4,hex5,hex1rate,hex2rate,hex3rate,hex4rate,hex5rate,file_path
꿈꾸는 먹잇감,BL,#fef2ec,#ecc1c4,#bd8c8e,#67525f,#3c2935,0.4130859375,0.32209201388888886,0.10027281746031746,0.09599144345238095,0.0685577876984127,꿈꾸는 먹잇감.jpg
꿰인 사이,BL,#f9f0f1,#e6c4c8,#6d5f76,#3f2e3c,#be939f,0.44151980744287495,0.26039737492498405,0.11029444978608349,0.09951796188866016,0.08827040595739738,꿰인 사이.jpg
"나비, 호랑이를 물다",BL,#685c6f,#e9d8d4,#9c9db4,#24161d,#dc977e,0.27114955357142856,0.24078311011904763,0.23422929067460319,0.1439887152777778,0.10984933035714285,"나비, 호랑이를 물다.jpg"
나비랑 호랑이 너희 말고,BL,#f1cbb5,#f9f2f0,#c2978d,#67646b,#2a2138,0.3776785714285714,0.21999627976190475,0.1642547123015873,0.12999441964285716,0.10807601686507937,나비랑 호랑이 너희 말고.jpg
낙오된 알파와 엘리트 오메가,BL,#fefefe,#212939,#525a74,#dfc9cf,#a9909a,0.6753937251984127,0.1207124255952381,0.09148995535714285,0.07143787202380952,0.040966021825396826,낙오된 알파와 엘리트 오메가.jpg
남자를 좋아해도 될까,BL,#867f89,#656575,#beadb9,#3b323a,#eae0dd,0.33113529265873015,0.2824032738095238,0.1818297371031746,0.11481584821428571,0.08981584821428572,남자를 좋아해도 될까.jpg
내 나이 서른,BL,#6f7866,#403e47,#b9b591,#f7e6db,#110809,0.25883101851851853,0.21688368055555557,0.20675636574074074,0.2037210648148148,0.11380787037037036,내 나이 서른.jpg
내 소원을 들어줘,BL,#fbeff1,#4875ac,#d7c7cb,#9b8d91,#3e4053,0.586594742063492,0.1566561259920635,0.11551029265873015,0.08978794642857142,0.051450892857142855,내 소원을 들어줘.jpg
내 약혼자는 꽃미남,BL,#292430,#fdfaf9,#e5d4d5,#c2a3a6,#796575,0.377477058531746,0.33406498015873015,0.11242559523809524,0.10812562003968254,0.06790674603174603,내 약혼자는 꽃미남.jpg
"내일, 네 거로 만들어 줘",BL,#f3ebd8,#0f406e,#dec3c1,#af8d8c,#814753,0.5863777281746032,0.1552486359126984,0.11214037698412699,0.09236111111111112,0.05387214781746032,"내일, 네 거로 만들어 줘.jpg"
너를 만난 후부터 나는,BL,#f6f7f7,#bfd1d3,#716a6b,#28201d,#fbd7a3,0.5753224206349207,0.20691654265873016,0.0816375248015873,0.07551153273809524,0.06061197916666667,너를 만난 후부터 나는.jpg
너와의 거리,BL,#dae8f2,#fcdbda,#4e414c,#907886,#b5a0aa,0.42863033234126985,0.27177889384920634,0.12607576884920635,0.11335255456349207,0.0601624503968254,너와의 거리.jpg
너의 각인,BL,#fefcfb,#f6d5cc,#dbaaa2,#92726e,#5a3b3c,0.3359219990079365,0.30149429563492064,0.21227368551587303,0.09092881944444445,0.059381200396825394,너의 각인.jpg
네게 취한 날들,BL,#504c60,#9b6d67,#30181c,#e6976e,#fce1a2,0.32625868055555557,0.2294859871031746,0.19950086805555556,0.1458984375,0.09885602678571428,네게 취한 날들.jpg
누각의 미인,BL,#fdfdf7,#efe5b6,#beb67e,#c46b57,#6f603f,0.5017516121031746,0.18741319444444443,0.1373232886904762,0.10927579365079365,0.0642361111111111,누각의 미인.jpg
누구든 좋으니까 안아줘,BL,#e5006d,#fbe2db,#e9aeac,#323146,#8d6979,0.6072606646825397,0.24459015376984128,0.08722718253968254,0.049717881944444445,0.011204117063492064,누구든 좋으니까 안아줘.jpg
당신을 바라보는 건 너무 힘들어,BL,#fdebda,#f7c1b1,#a65052,#e28f85,#6a2a2e,0.3894675925925926,0.21815277777777778,0.14866666666666667,0.14185185185185184,0.10186111111111111,당신을 바라보는 건 너무 힘들어.jpg
대표님과 연애를 시작했습니다,BL,#f7e58c,#f9eee5,#534f6c,#4f2b28,#b9937e,0.43671875,0.20221354166666666,0.14796937003968255,0.11233878968253969,0.10075954861111111,대표님과 연애를 시작했습니다.jpg
도시의 사랑,BL,#f1efee,#9bccdf,#cab9bf,#227fca,#777e8d,0.3467695932539683,0.20421626984126984,0.2015159970238095,0.15602058531746033,0.09147755456349206,도시의 사랑.jpg
"돌아봐줘, 유키노",BL,#f2e7e6,#d6cccc,#4e4e50,#bcaca8,#9d8984,0.39045138888888886,0.18121899801587302,0.16069258432539682,0.1488188244047619,0.11881820436507937,"돌아봐줘, 유키노.jpg"
