제목,카테고리,hex1,hex2,hex3,hex4,hex5,hex1rate,hex2rate,hex3rate,hex4rate,hex5rate,file_path
날지 못하는 새,드라마,#fbf7f1,#dfbda6,#9e7d58,#423a3b,#0c0a0a,0.5866951308139535,0.17070948401162792,0.10213390261627907,0.08658521075581395,0.053876271802325584,날지 못하는 새.jpg
남편의 엿보기 구멍,드라마,#23170e,#76604e,#47332a,#ada69d,#dccdbf,0.39734284156976746,0.21408975290697674,0.18424418604651163,0.1028188590116279,0.10150436046511628,남편의 엿보기 구멍.jpg
내가 하면 짝사랑,드라마,#e9ecec,#a4d7e9,#8d9195,#dd7d54,#3b3834,0.4493068677325581,0.30704305959302325,0.11588299418604651,0.08011537063953489,0.04765170784883721,내가 하면 짝사랑.jpg
너클걸 러스티,드라마,#2a363f,#a1969c,#604c42,#906750,#101413,0.33035973837209304,0.24545875726744187,0.15596021075581395,0.1342232921511628,0.13399800145348836,너클걸 러스티.jpg
누나는 내가 지킬 거야,드라마,#fefefe,#f3e8e9,#c9bfce,#a597a9,#7b677c,0.7106286337209302,0.1098891715116279,0.08214662063953489,0.05902888808139535,0.03830668604651163,누나는 내가 지킬 거야.jpg
다리 위 차차,드라마,#fefefe,#202020,#3d3d3d,#6c6c6c,#afafaf,0.6542868822674418,0.17061137354651162,0.1115906613372093,0.04002452761627907,0.02348655523255814,다리 위 차차.jpg
단단하게 조여줘,드라마,#f8f5ea,#444760,#2f2933,#dcb9a1,#9b7761,0.43967750726744187,0.2333293968023256,0.18230196220930234,0.10204669331395348,0.04264444040697674,단단하게 조여줘.jpg
달콤한 하늘,드라마,#fbfcfc,#ece2da,#b7b197,#191417,#5c5356,0.377859738372093,0.2629551235465116,0.13872547238372093,0.11424691133720931,0.10621275436046512,달콤한 하늘.jpg
대박을 잡은 놈,드라마,#5e314c,#824049,#1f1314,#ece5dc,#bda59b,0.42809956395348836,0.2825045421511628,0.12286791424418604,0.12174600290697675,0.04478197674418605,대박을 잡은 놈.jpg
대표님과 위험한 계약 결혼,드라마,#a78188,#f8e6e3,#8f5355,#d5afb0,#68292b,0.23184774709302325,0.22374727470930234,0.20369276889534885,0.2009093386627907,0.1398028706395349,대표님과 위험한 계약 결혼.jpg
대표님과 하룻밤을 보냈습니다,드라마,#ecf0f1,#7d657b,#e0a999,#372f45,#83a3e4,0.40804233284883723,0.18918786337209303,0.1590688590116279,0.15695221656976743,0.08674872819767442,대표님과 하룻밤을 보냈습니다.jpg
대표님의 두 얼굴의 아내,드라마,#fbece3,#eec8bb,#65596e,#be97bd,#a97f7d,0.36290243459302324,0.28826035610465117,0.16263626453488372,0.09785882994186046,0.0883421148255814,대표님의 두 얼굴의 아내.jpg
대표님의 전속노예가 되었습니다,드라마,#e7d2cb,#ddaa9d,#f8f3ee,#4c394d,#9f646e,0.3877843386627907,0.18423328488372093,0.1691206395348837,0.1542905159883721,0.10457122093023256,대표님의 전속노예가 되었습니다.jpg
도덕과부도,드라마,#040a24,#f8f1e1,#7f8bc1,#4d5063,#02a81b,0.44264625726744183,0.2877779796511628,0.12417605377906976,0.08700127180232559,0.0583984375,도덕과부도.jpg
"됐다, 연애!",드라마,#fcefef,#debbb0,#afa7a7,#409cb6,#756a6a,0.5841215479651163,0.2639816497093023,0.08308775436046512,0.03459574854651163,0.034213299418604654,"됐다, 연애!.jpg"
드라이 플라워,드라마,#fdfefe,#dbcfd2,#222647,#a2a4b8,#605c81,0.6477534520348838,0.14976925872093022,0.07579487645348837,0.0708875363372093,0.05579487645348837,드라이 플라워.jpg
라즈베리 샌드위치,드라마,#f9ede2,#41281f,#795943,#d39c86,#180c08,0.33845657703488374,0.22217750726744187,0.19699309593023256,0.16230377906976745,0.08006904069767441,라즈베리 샌드위치.jpg
로만 탐정사무소,드라마,#f3edcf,#657279,#080706,#eab03d,#77c3c4,0.29728651889534885,0.2538090479651163,0.220304324127907,0.12387172965116279,0.10472837936046511,로만 탐정사무소.jpg
리라이프,드라마,#e3ba7f,#636675,#f0e6dc,#2e2d31,#aba6a7,0.5197401889534884,0.19905341569767443,0.11324763808139535,0.08485646802325582,0.08310228924418604,리라이프.jpg
리벤지 크로스,드라마,#f9dcd1,#1e1933,#c9a8a4,#957b7e,#5f4f59,0.3468968023255814,0.2977225654069767,0.13569313226744187,0.12251726017441861,0.0971702398255814,리벤지 크로스.jpg
매일 부지런히 주워 먹기,드라마,#f9f8f6,#e1dad3,#b9b5ae,#705f59,#9d887b,0.3790843023255814,0.29508539244186044,0.1782767078488372,0.09872638081395349,0.04882721656976744,매일 부지런히 주워 먹기.jpg
매일 참는 남자,드라마,#f0f5f5,#5b4654,#c1f4fd,#d7c5ba,#8c8c95,0.28549963662790695,0.2145376090116279,0.18437318313953488,0.16047147529069766,0.15511809593023257,매일 참는 남자.jpg
메리트랩,드라마,#f9f4f1,#e3c9cc,#403147,#b69a9e,#936970,0.3509375,0.25846656976744187,0.14436591569767443,0.13074945494186047,0.11548055959302325,메리트랩.jpg
명판관 장평,드라마,#382428,#e3ab8e,#763a39,#f0dacb,#b3755c,0.35499545784883724,0.2136546148255814,0.2094767441860465,0.12247547238372093,0.09939771075581395,명판관 장평.jpg
모아세(모두가 아름다워진 세상),드라마,#443b36,#1c160c,#858481,#656463,#c4bebb,0.4423083212209302,0.1579578488372093,0.1412845203488372,0.1359465843023256,0.12250272529069768,모아세(모두가 아름다워진 세상).jpg
모태솔로 최후의 날,드라마,#fefdfe,#f01341,#f13059,#f35778,#f5afbe,0.3795812136627907,0.3678860828488372,0.12945857558139534,0.1009593023255814,0.02211482558139535,모태솔로 최후의 날.jpg
몽암도 별이 떨어진 자리,드라마,#f7f6f3,#544853,#e0dbce,#a7b0a9,#b14f54,0.3087863372093023,0.2711954941860465,0.2444921875,0.11946493459302325,0.05606104651162791,몽암도 별이 떨어진 자리.jpg
무지갯빛 포토그래프,드라마,#fefcfa,#e33734,#3d3447,#e9c5a4,#a9827c,0.5203888081395349,0.15713390261627908,0.13199945494186047,0.1192251090116279,0.07125272529069768,무지갯빛 포토그래프.jpg
물에 빠진 사람,드라마,#ece9cf,#cad7c7,#e8d2a9,#a4bbbb,#b89e79,0.4886355377906977,0.20370730377906976,0.1696420784883721,0.09547056686046512,0.04254451308139535,물에 빠진 사람.jpg
미남호떡,드라마,#f5f0ec,#c6a99e,#725f60,#2c2422,#96cdfc,0.35829305959302327,0.24088026889534883,0.1771938590116279,0.11432412790697674,0.10930868459302326,미남호떡.jpg
미래에서 온 소년,드라마,#606d7e,#fee4d7,#f1b989,#14100a,#9f523c,0.4922174781976744,0.288984375,0.1436609738372093,0.05065952034883721,0.02447765261627907,미래에서 온 소년.jpg
미치도록 아껴줄게,드라마,#f7f6f5,#e8c4b8,#cce8f0,#4e4043,#bc7f77,0.4073591933139535,0.17319040697674418,0.1697156613372093,0.12681686046511628,0.12291787790697674,미치도록 아껴줄게.jpg
미카베 선생님의 완벽한 하루,드라마,#f5f3ef,#1a191d,#dacdac,#48515b,#8a8a86,0.43044967296511627,0.16322038517441861,0.14920603197674417,0.14323219476744187,0.11389171511627907,미카베 선생님의 완벽한 하루.jpg
밀과 보리가 자란다,드라마,#fafbfa,#74c3e2,#546272,#c8ac90,#121312,0.32675054505813955,0.25064044331395346,0.1711300872093023,0.16892714389534882,0.08255178052325582,밀과 보리가 자란다.jpg
배니싱 트윈 내 안의 그,드라마,#f5dcd4,#fbfaf9,#c4a9a0,#3c2d26,#7a635b,0.4242369186046512,0.18998637354651163,0.1453279433139535,0.12784883720930232,0.1125999273255814,배니싱 트윈 내 안의 그.jpg
백빼기,드라마,#fdfdfd,#c6d7e5,#9781af,#1a191d,#f8dc31,0.6166288154069768,0.22743186773255814,0.10772529069767442,0.036317223837209305,0.011896802325581395,백빼기.jpg
벌칸,드라마,#3c1d20,#753b33,#c25a38,#f6983e,#fcec70,0.35898346656976743,0.2136982194767442,0.1582467296511628,0.1557140261627907,0.11335755813953488,벌칸.jpg
볍신을 부탁해,드라마,#e6a559,#f9e1d1,#1a120f,#84604c,#9ec7f9,0.38418695494186045,0.2404887354651163,0.17471384447674418,0.12524345930232558,0.07536700581395349,볍신을 부탁해.jpg
병크4 얼굴 빼면 시체인 아이돌,드라마,#fbeccc,#0e108b,#c7a28f,#55413c,#7ff5fb,0.4953760901162791,0.22588662790697675,0.1999763808139535,0.04468568313953488,0.03407521802325581,병크4 얼굴 빼면 시체인 아이돌.jpg
보이지 않는 사람,드라마,#fefefe,#e3edf2,#a6b5cc,#131315,#666a73,0.822242914244186,0.08800599563953489,0.04535065406976744,0.025549600290697673,0.018850835755813953,보이지 않는 사람.jpg
복면발차기왕,드라마,#198874,#748086,#fcfaf3,#44272c,#d2afa8,0.3482821584302326,0.18746002906976744,0.16349927325581395,0.15378997093023256,0.1469685683139535,복면발차기왕.jpg
복수는 우리의 것,드라마,#fef0e9,#453335,#8f5857,#f1c1a3,#d08574,0.38140715843023254,0.22180686773255814,0.1357403706395349,0.13528252180232558,0.12576308139534884,복수는 우리의 것.jpg
복수의 신부,드라마,#e2d9c7,#f8f4e4,#c9b3a9,#a1847b,#57413b,0.3127543604651163,0.27314316860465115,0.250109011627907,0.11180595930232558,0.0521875,복수의 신부.jpg
불륜 상대의 부인과 오늘부터 친구,드라마,#ece6e3,#755846,#dcb7a3,#48291c,#ae876d,0.563859011627907,0.11866642441860466,0.11748637354651163,0.1033048691860465,0.09668332122093024,불륜 상대의 부인과 오늘부터 친구.jpg
불륜남을 짝사랑하게 되었다,드라마,#ebe9d9,#fee767,#2c232b,#756655,#bfb3a2,0.394171511627907,0.18726017441860465,0.15576853197674417,0.13317587209302326,0.12962390988372094,불륜남을 짝사랑하게 되었다.jpg
불멸,드라마,#eae6e3,#cbbfb0,#a98e77,#675646,#b73156,0.5237872456395349,0.27296875,0.09564861918604652,0.07083212209302325,0.036763263081395346,불멸.jpg
비치걸스 전국제패,드라마,#fadeca,#efb59e,#392e46,#73556d,#bd6d7d,0.3390752180232558,0.2617296511627907,0.17429778343023256,0.11728288517441861,0.10761446220930232,비치걸스 전국제패.jpg
뿔뿔뿔뿔,드라마,#f0f2f1,#e4ccb7,#938280,#525858,#83d5d8,0.4530096293604651,0.19757358284883722,0.19647619912790698,0.11032521802325582,0.04261537063953488,뿔뿔뿔뿔.jpg
사내자식,드라마,#b6bacc,#717c9a,#ede7e7,#46495a,#fcf004,0.44963481104651165,0.24993459302325582,0.20767260174418606,0.08349018895348838,0.00926780523255814,사내자식.jpg
사랑받는 여자가 될 거야,드라마,#ededee,#e4b6a2,#4a7dae,#37354c,#b06d58,0.38834302325581394,0.24062136627906977,0.17071311773255815,0.12125090843023256,0.07907158430232558,사랑받는 여자가 될 거야.jpg
사막,드라마,#dabda4,#644946,#9c7e6d,#849fdb,#d8e5eb,0.27961210029069766,0.2557549055232558,0.2422002180232558,0.1234656613372093,0.09896711482558139,사막.jpg
사무실을 부수는 여자,드라마,#1c1b23,#373240,#695c6b,#f80246,#c3b0b0,0.4336482558139535,0.3561673328488372,0.1336137354651163,0.042129360465116276,0.034441315406976744,사무실을 부수는 여자.jpg
사장님은 곰인중,드라마,#34343e,#fae7db,#121119,#d0bca1,#746653,0.33724927325581394,0.29197765261627906,0.1542923328488372,0.1470485101744186,0.06943223110465116,사장님은 곰인중.jpg
상사도 불륜에 포함되나요,드라마,#fbdddc,#303044,#73d5d3,#6a6c81,#d6a2a4,0.32728015988372094,0.30591660610465116,0.15464571220930232,0.13012263808139535,0.08203488372093024,상사도 불륜에 포함되나요.jpg
샌드위치를 먹다,드라마,#f1efee,#df6657,#eebb97,#6c2e22,#8b7686,0.4589434956395349,0.1839607558139535,0.1550327034883721,0.10686500726744186,0.09519803779069767,샌드위치를 먹다.jpg
"선 육아, 후 연애",드라마,#faeded,#e9a089,#b06b68,#efcbcc,#582e37,0.47206213662790697,0.1619921875,0.1618295784883721,0.15326308139534883,0.050853015988372094,"선 육아, 후 연애.jpg"
성형게임,드라마,#fcfaf7,#454443,#8e8b86,#0d0c0c,#dac4c1,0.49741914970930234,0.13757449127906976,0.13697220203488372,0.1315170784883721,0.0965170784883721,성형게임.jpg
세계신대백과,드라마,#ebdcd8,#494c60,#897d83,#cfbfc1,#b2a1ac,0.23787609011627908,0.22532794331395348,0.2014325944767442,0.1858157703488372,0.14954760174418605,세계신대백과.jpg
소녀의 고치,드라마,#dbdddc,#656c6c,#363636,#aaa093,#fac9c8,0.32770076308139534,0.20577852470930233,0.2011700581395349,0.1592750726744186,0.10607558139534884,소녀의 고치.jpg
소야신집,드라마,#faf5f7,#c0d8d8,#f4a4a8,#0e0c0c,#766968,0.6529533066860466,0.12285882994186047,0.08475199854651162,0.07438226744186047,0.06505359738372093,소야신집.jpg
"수수, 한",드라마,#575150,#f0e2d3,#eaabb2,#ac9693,#79a3aa,0.248601925872093,0.21882449127906978,0.20539880087209303,0.20126271802325582,0.12591206395348836,"수수, 한.jpg"
순정 양아치와 호러 여고생,드라마,#f4e6d3,#424158,#d2a993,#906661,#847aad,0.3206186409883721,0.23132721656976743,0.17821311773255813,0.14054414970930232,0.129296875,순정 양아치와 호러 여고생.jpg
순혈의 군장,드라마,#bf9ba2,#9f6639,#3d2937,#72588d,#e7dfe3,0.2673819040697674,0.23022710755813955,0.20260356104651162,0.1734502180232558,0.1263372093023256,순혈의 군장.jpg
슈트 오브 스파이,드라마,#fafafa,#454546,#cac9c9,#10100f,#909089,0.3675908430232558,0.21876453488372094,0.2033484738372093,0.15629087936046512,0.05400526889534884,슈트 오브 스파이.jpg
승부,드라마,#242e3f,#e7e6e8,#5d6168,#b7aba6,#c26f48,0.355773074127907,0.3511400799418605,0.12414153343023256,0.11468386627906976,0.05426144622093023,승부.jpg
시크릿 스타,드라마,#fce5cf,#5c4441,#fcfbfb,#180e15,#b09c9b,0.4897165697674419,0.24806050145348837,0.11176507994186047,0.10147619912790698,0.04898164970930233,시크릿 스타.jpg
신객만래,드라마,#f8ecb7,#fdfbf5,#7eb6c5,#a0825f,#4d3b34,0.4417487281976744,0.21990552325581394,0.13187409156976745,0.11864007994186046,0.08783157703488371,신객만래.jpg
신시어리,드라마,#161a0c,#9e0102,#f2f2f2,#806555,#d7beaf,0.4376344476744186,0.24257539970930234,0.14442314680232557,0.10705759447674419,0.0683094113372093,신시어리.jpg
신의 가면,드라마,#1c2c42,#30547d,#e3e6ee,#dcb9a9,#a97e77,0.37042787063953486,0.2541079215116279,0.1788717296511628,0.10778070494186047,0.08881177325581395,신의 가면.jpg
신의 초,드라마,#fefefd,#aba59c,#181116,#8f7d61,#4e3530,0.42479923691860466,0.29050872093023256,0.1091360828488372,0.0961673328488372,0.07938862645348838,신의 초.jpg
신족재판 - 지구인이 돌아 왔다,드라마,#a2aed2,#5b4d53,#f5ebe3,#d5b49d,#1f191b,0.2813671875,0.23177234738372093,0.23095385174418603,0.15585210755813952,0.10005450581395349,신족재판 - 지구인이 돌아 왔다.jpg
심연의 눈,드라마,#0c0c0b,#252826,#424846,#5f6968,#dadad8,0.3248192223837209,0.27576489825581396,0.2616433502906977,0.126827761627907,0.010944767441860466,심연의 눈.jpg
심해의 조각들,드라마,#40b5f0,#2f040b,#dff0f9,#f0a1b5,#395b90,0.22847111191860464,0.22608557412790697,0.21014353197674418,0.20721656976744185,0.12808321220930233,심해의 조각들.jpg
썸,드라마,#e0bcda,#b0c1cd,#f5f5f5,#6f6f70,#0c0c0d,0.25458030523255815,0.24536155523255815,0.19408066860465117,0.19206213662790697,0.11391533430232559,썸.jpg
썸머썸,드라마,#bb2a2a,#fefefe,#ebd7d0,#5e5350,#191110,0.3437872456395349,0.30688045058139535,0.1712736191860465,0.12640897529069767,0.05164970930232558,썸머썸.jpg
아무것도 하고 싶지 않아,드라마,#fffcfb,#575151,#d9e9f7,#151414,#a0a0a1,0.6131504360465116,0.2586155523255814,0.07916969476744186,0.030372456395348836,0.01869186046511628,아무것도 하고 싶지 않아.jpg
아시야 씨네 고양이,드라마,#f4e9d8,#79a4a4,#75595f,#d1b595,#de1b85,0.3315688590116279,0.2342768895348837,0.21894077034883722,0.17552779796511628,0.03968568313953488,아시야 씨네 고양이.jpg
아주 굉장한 밴드,드라마,#fefefd,#6a5769,#eccfc6,#453844,#bd949b,0.4779642078488372,0.18255541424418606,0.14103197674418605,0.13403252180232558,0.06441587936046511,아주 굉장한 밴드.jpg
아찔한 관계,드라마,#efd7d9,#281d26,#5b4756,#99c8e7,#a88996,0.4686954941860465,0.1992796148255814,0.13763172238372093,0.10493822674418604,0.08945494186046511,아찔한 관계.jpg
아침식사 됩니다,드라마,#d4cbaa,#56545b,#eeefe0,#7b938a,#b64b56,0.3132249273255814,0.2451498909883721,0.19935228924418605,0.12986010174418605,0.11241279069767442,아침식사 됩니다.jpg
악마같은 대표님과 계약을 맺었다,드라마,#eee6f1,#2c3960,#c9abc5,#786b9a,#08050a,0.33193223110465114,0.2808293968023256,0.22091842296511627,0.13322311046511628,0.0330968386627907,악마같은 대표님과 계약을 맺었다.jpg
"안녕, 띵땅",드라마,#5e584b,#cdc8b9,#f9f9ef,#fbfcbc,#848681,0.27886809593023254,0.2086936773255814,0.20743368459302325,0.1736264534883721,0.1313780886627907,"안녕, 띵땅.jpg"
액막이 왕비,드라마,#e38756,#aa563b,#712519,#f8ce7e,#faf1dc,0.2280732194767442,0.22176235465116279,0.21690225290697673,0.18771529796511627,0.145546875,액막이 왕비.jpg
야근합시다 우리,드라마,#495879,#f8f0e5,#bc8a7c,#252325,#92aec6,0.45746184593023254,0.23257994186046513,0.1378624636627907,0.09790334302325582,0.07419240552325582,야근합시다 우리.jpg
야옹 도와주세요 점장님,드라마,#f7f6f5,#cbcbd1,#524b58,#252527,#848b95,0.35348019622093024,0.2758166787790698,0.16848928052325582,0.11613190406976744,0.08608194040697674,야옹 도와주세요 점장님.jpg
어린 사슴의 밤,드라마,#0f0c0c,#c398b8,#e8d4e1,#423438,#84657b,0.25453397529069766,0.22548055959302327,0.22044422238372094,0.18489098837209303,0.11465025436046512,어린 사슴의 밤.jpg
얼굴 도둑,드라마,#f6e5d3,#cca990,#756b6c,#44373a,#bc6e4b,0.278312136627907,0.2708139534883721,0.16224473110465115,0.1456186409883721,0.14301053779069767,얼굴 도둑.jpg
에디슨 컴플렉스,드라마,#d17273,#d8d0c3,#656b70,#0e9ffa,#2b1f22,0.3341842296511628,0.2763871729651163,0.18693223110465115,0.14685501453488373,0.055641351744186045,에디슨 컴플렉스.jpg
에어리언 아이돌,드라마,#030108,#230760,#cc5e7e,#376799,#d6dce6,0.5969231468023256,0.2178424781976744,0.11992460029069768,0.038262172965116276,0.027047601744186047,에어리언 아이돌.jpg
엘리제를 위하여,드라마,#f2bab5,#130b10,#352e3a,#e59c96,#c86c6b,0.4789407703488372,0.1911200944767442,0.13292060319767443,0.1212781613372093,0.07574037063953488,엘리제를 위하여.jpg
여름소년,드라마,#fdfcfa,#57554d,#d6d6d5,#95999f,#2b2723,0.7656486191860465,0.12430595930232557,0.061614280523255814,0.03498637354651163,0.013444767441860465,여름소년.jpg
여우와 불로초,드라마,#fbf6f7,#e1b6c7,#c17e8a,#764653,#331e34,0.33106922238372094,0.20802961482558138,0.16994186046511628,0.14607467296511628,0.14488462936046512,여우와 불로초.jpg
여인촌 선생님,드라마,#fcdac3,#fbf0ea,#38393f,#505962,#c6a390,0.3870330668604651,0.19610101744186045,0.14818586482558138,0.14462118459302326,0.12405886627906977,여인촌 선생님.jpg
여자 공수혁,드라마,#dc555a,#3d2d28,#4b4140,#f4deda,#ce8f87,0.6076580668604651,0.13933321220930234,0.1373591933139535,0.07623819040697674,0.03941133720930232,여자 공수혁.jpg
연기가 눈가에 번진다,드라마,#edcccd,#ec7f79,#d26762,#72342b,#fdece3,0.5653479287790698,0.14792696220930232,0.11759175145348837,0.10480741279069768,0.06432594476744186,연기가 눈가에 번진다.jpg
연애 고수는 사랑을 모른다,드라마,#fad3c7,#f1f7f3,#ddab9f,#b48781,#664d58,0.3852752543604651,0.20585664970930231,0.20135537790697675,0.11885537790697674,0.08865734011627907,연애 고수는 사랑을 모른다.jpg
연애소설을 읽는 교수,드라마,#f5eae4,#0a233e,#807a7b,#b8aaa5,#414452,0.49630813953488373,0.17302416424418604,0.15791969476744186,0.09077125726744185,0.08197674418604652,연애소설을 읽는 교수.jpg
연애의 B정석,드라마,#cb9692,#e6c5bc,#fcede5,#765c60,#442c31,0.2917832485465116,0.23010992005813954,0.1804015261627907,0.15276162790697675,0.1449436773255814,연애의 B정석.jpg
연애하고 싶어,드라마,#f7f1ee,#bfa9eb,#5c575d,#8c888f,#d9c7bb,0.3678688226744186,0.22742369186046513,0.16838662790697675,0.1530141715116279,0.08330668604651163,연애하고 싶어.jpg
영화배우,드라마,#f5da68,#080805,#84b068,#975f57,#f7f3e8,0.3208966206395349,0.3077389171511628,0.14624182412790698,0.13925962936046513,0.08586300872093024,영화배우.jpg
오 한강,드라마,#fcfcfc,#2c2c2c,#a4a4a4,#6c6c6c,#cfcfcf,0.45634084302325584,0.16980377906976743,0.15112917877906976,0.13798691860465118,0.08473928052325581,오 한강.jpg
오늘도 태워줘,드라마,#f5eae3,#0a090c,#383644,#9d8d8e,#268a98,0.2652371002906977,0.23083303052325582,0.19682594476744186,0.16232103924418603,0.14478288517441862,오늘도 태워줘.jpg
오늘부터 에로 만화를 만들게 되었습니다,드라마,#f8f5e8,#e8d4c9,#b69385,#8c604d,#4b2d22,0.31405977470930235,0.2580532340116279,0.1931095566860465,0.15818768168604652,0.07658975290697674,오늘부터 에로 만화를 만들게 되었습니다.jpg
오늘부터 청순하게 [웹툰],드라마,#fbedde,#795859,#8fac44,#d5dc66,#ceaca6,0.34577216569767444,0.2507185683139535,0.16464480377906976,0.14908521075581396,0.08977925145348838,오늘부터 청순하게 [웹툰].jpg
오빠들이 나한테 집착해,드라마,#c1adaf,#8d7578,#eeddda,#543d44,#19141a,0.2923473837209302,0.20138717296511627,0.1887127543604651,0.16335392441860466,0.1541987645348837,오빠들이 나한테 집착해.jpg
온 어 리시[개정판],드라마,#f9f5f0,#5db79f,#851e21,#332726,#aaa39b,0.4451081031976744,0.21864643895348837,0.19326489825581394,0.0832203851744186,0.05976017441860465,온 어 리시[개정판].jpg
왕들이 오셨다,드라마,#f2f2ef,#afdcf5,#7fccf1,#43425d,#c0a7aa,0.2946620639534884,0.238359375,0.1825,0.16304960029069768,0.12142896075581396,왕들이 오셨다.jpg
우리 삼촌은 월드스타,드라마,#b3d0d6,#ecf0e6,#e4af86,#769ab2,#6b5457,0.2761873183139535,0.27166151889534884,0.1678079578488372,0.15391533430232557,0.13042787063953487,우리 삼촌은 월드스타.jpg
우리에게 거짓 마음 따위는 없어,드라마,#fbe6db,#be9177,#89624d,#e5bcae,#342520,0.2965561409883721,0.20761446220930233,0.1892986918604651,0.18741642441860465,0.11911428052325582,우리에게 거짓 마음 따위는 없어.jpg
우리집 걔는 물어요,드라마,#971f32,#372324,#e4e1e3,#a0a8c5,#f4ad49,0.3526816860465116,0.3028842659883721,0.20939316860465115,0.10092569040697674,0.03411518895348837,우리집 걔는 물어요.jpg
울 회사는 시골에 있다,드라마,#f5f3f1,#cdc9be,#764b34,#7cb4e4,#ab7f5c,0.36744004360465116,0.2023828125,0.1779969113372093,0.1268295784883721,0.12535065406976745,울 회사는 시골에 있다.jpg
원모어찬스,드라마,#1b2937,#5a606e,#cfc5c5,#f0e5e4,#b09397,0.36599200581395347,0.19545421511627906,0.17461664244186045,0.1369749273255814,0.12696220930232557,원모어찬스.jpg
위험한 남자 [개정판],드라마,#f4cfd4,#231317,#fdf2f3,#4e2c33,#ca938d,0.36827125726744186,0.3241896802325581,0.1696002906976744,0.10868368459302326,0.029255087209302325,위험한 남자 [개정판].jpg
위험한 비밀결혼,드라마,#503540,#f3e5ea,#c4a3aa,#9a605d,#566978,0.3442923328488372,0.24760810319767443,0.21711028343023256,0.1018577398255814,0.08913154069767441,위험한 비밀결혼.jpg
의열 모던 레지스탕스,드라마,#050405,#4e6f77,#87869b,#3a3d42,#c7cfd5,0.41434138808139537,0.1704560319767442,0.14659429505813953,0.14583666424418604,0.12277162063953488,의열 모던 레지스탕스.jpg
이게 첫사랑일 리 없어,드라마,#f7dad8,#fdf4f3,#504d50,#382728,#a78b80,0.37510537790697673,0.26857376453488374,0.23341933139534884,0.07858103197674418,0.044320494186046513,이게 첫사랑일 리 없어.jpg
이상한 도시의 앨리스,드라마,#e8dfdc,#bfb7bc,#5e5d58,#878984,#171515,0.25766442587209304,0.21985374273255814,0.2148482921511628,0.20734102470930232,0.10029251453488372,이상한 도시의 앨리스.jpg
인 유어 드림,드라마,#f8f0ee,#2c1b1b,#793835,#b18877,#f4d158,0.3696720566860465,0.34857739825581396,0.1351780523255814,0.09576944040697674,0.050803052325581396,인 유어 드림.jpg
인생을 빼앗은 여자,드라마,#f3d3cb,#ad7a7c,#6a5557,#342e30,#c1043c,0.3064671148255814,0.24639807412790699,0.20446039244186046,0.20331122819767442,0.03936319040697674,인생을 빼앗은 여자.jpg
인생이 마음대로 되지 않는 26살 이야기,드라마,#a1e1fa,#a5a291,#f8edd7,#eed977,#3d3e37,0.6044040697674419,0.14799236918604652,0.12916515261627906,0.07185228924418605,0.046586119186046514,인생이 마음대로 되지 않는 26살 이야기.jpg
일단 살아보고 결혼합시다,드라마,#fdf6f0,#acadc0,#f2bbab,#926367,#4b2d35,0.3315770348837209,0.24321675145348837,0.2337109375,0.10366279069767442,0.08783248546511628,일단 살아보고 결혼합시다.jpg
임신해서 죄송합니다,드라마,#fe478f,#faf6ed,#99aac4,#f7dcc3,#544647,0.49122547238372094,0.18917696220930233,0.12568677325581395,0.1063326671511628,0.087578125,임신해서 죄송합니다.jpg
잎새의 달,드라마,#fdf5ea,#b56e5e,#fac9af,#762524,#9ba4d7,0.25258539244186046,0.23306322674418606,0.21722565406976743,0.20067132994186046,0.09645439680232558,잎새의 달.jpg
잠자는 벚꽃,드라마,#100f0e,#fbf0ee,#debcc3,#b78d9d,#7c5a66,0.5781304505813953,0.13522892441860465,0.12893259447674418,0.09542060319767443,0.062287427325581395,잠자는 벚꽃.jpg
저승 인턴 일기,드라마,#f9f9ea,#d2b4ad,#a57b67,#652d28,#f6fa7f,0.6641460755813954,0.16527616279069768,0.09017714389534884,0.05029887354651163,0.03010174418604651,저승 인턴 일기.jpg
제 최애가 팬 기만을 해서 그만,드라마,#f7ebe4,#41251b,#eabfaa,#897066,#ba0808,0.3429315043604651,0.2211827761627907,0.21830214389534883,0.12908884447674418,0.08849473110465116,제 최애가 팬 기만을 해서 그만.jpg
조선과학수사대 별순검,드라마,#f9f3ea,#e4c2ac,#923f3f,#2c211f,#5b8aad,0.3361845930232558,0.2612590843023256,0.2271484375,0.10760356104651163,0.06780432412790698,조선과학수사대 별순검.jpg
주정,드라마,#c4687b,#c39da4,#542a2d,#7b5f63,#d4cae8,0.25788063226744184,0.22900526889534883,0.22528161337209301,0.1991233648255814,0.08870912063953489,주정.jpg
지구의 김용사,드라마,#6d9a8e,#cfd8d4,#3f6e5e,#382d2a,#f02e48,0.34318404796511626,0.2879623909883721,0.26482558139534884,0.08233739098837209,0.021690588662790698,지구의 김용사.jpg
지나가는 N (개정판),드라마,#f2d8e2,#fdfcfd,#718b97,#30212f,#afaebb,0.3777062136627907,0.3258166787790698,0.2266360828488372,0.04178143168604651,0.028059593023255815,지나가는 N (개정판).jpg
진조크루,드라마,#2d0f0d,#fcf8d4,#564030,#f4e06f,#cb8635,0.37344930959302325,0.21110919331395347,0.1760265261627907,0.12902071220930234,0.11039425872093023,진조크루.jpg
